Title              Race              Level            Base Attack              Max_HP           Max_Mana            HP_Regen              Mana_Regen                TurnRate
NULL               :Rat                000                00010                 00030             00000               0000                 0000                     01
NULL           :Swarm Of Rats          000                00025                 00060             00000               0000                 0000                     01
NULL         :Giant Salamander         001                00050                 00070             00000               0000                 0000                     02
NULL              :Slime               001                00005                 00150             00000               0005                 0000                     01
NULL              :Ooze                002                00005                 00180             00000               0010                 0000                     01
NULL            :Storm Wolf            002                00040                 00100             00000               0000                 0000                     02
NULL              :Zombie              003                00035                 00110             00000               0000                 0000                     01
NULL              :Ghoul               003                00050                 00120             00000               0000                 0000                     02
NULL             :Goblin               004                00020                 00080             00000               0000                 0000                     01
NULL           :Goblin Knight          006                00070                 00180             00000               0005                 0000                     02
NULL           :Goblin Swarm           008                00050                 00200             00000               0000                 0000                     01
NULL           :Goblin Shaman          010                00080                 00150             00000               0000                 0000                     01
Dracula          :Vampire              013                00250                 00400             00200               0050                 0010                     01
NULL             :Vampire              015                00090                 00200             00000               0015                 0000                     01
NULL             :Crazed Ogre          018                00400                 00200             00000               0050                 0000                     02
NULL             :Goblin King          020                00300                 00250             00000               0000                 0000                     02
NULL             :Minotaur             025                00500                 00400             00000               0080                 0000                     02
He Who Stands    :Giant                030                00300                 02000             02000               0200                 0100                     01
NULL             :Basalisk             033                00600                 01500             00000               0100                 0000                     01
NULL             :Gorgon               035                00750                 02500             00000               0000                 0000                     01
Medusa           :Gorgon               037                01050                 03000             04000               0300                 0400                     01
NULL             :Wyvren               039                00800                 02800             00000               0500                 0000                     01
Fire Chicken     :Phionex              040                01000                 07000             07000               0000                 0500                     01
Momento Mori     :Dragon               043                04000                 15000             04000               0000                 0999                     05
NULL             :18 Headed Hydra      045                05000                 10000             00000               1500                 0000                     02
BoogyMan         :Neather Beast        050                05000                 15000             09000               2000                 0999                     01
Demon King       :Demon                060                15000                 50000             20000               5000                 1500                     02
Gamer            :#?!@$                100                99999                 99999             99999               9999                 9999                     20
-1
